ISIN,Company,LEVEL2 SECTOR NAME,LEVEL3 SECTOR NAME,LEVEL4 SECTOR NAME,LEVEL5 SECTOR NAME,GEOGRAPHIC DESCR.,TotalValue,EV,SUPPLIERCOSTS
US1264081035,CSX,Industrials,Ind. Goods & Services,Ind. Transportation,Railroads,UNITED STATES,"42,764,000,000","87,085,440,000","8,518,409,990"
US1270971039,COTERRA ENERGY,Energy,Energy,"Oil, Gas and Coal",Oil: Crude Producers,UNITED STATES,"21,625,000,000","23,774,000,000","4,117,989,981"
CA5592224011,MAGNA INTL.,Consumer Discretion,Automobiles & Parts,Automobiles & Parts,Auto Parts,CANADA,"30,215,826,000","17,036,000,000","31,589,407,456"
US8326964058,J M SMUCKER,Consumer Staples,"Food, Bev. and Tobacc",Food Producers,Food Products,UNITED STATES,"17,563,300,000","18,173,540,000","6,606,698,090"
US8425871071,SOUTHERN,Utilities,Utilities,Electricity,Conv. Electricity,UNITED STATES,"145,180,000,000","124,060,100,000","16,658,409,963"
US78409V1044,S&P GLOBAL,Financials,Financial Services,Finance & Credit Svs,Fin. Data Providers,UNITED STATES,"60,221,000,000","173,134,400,000","4,325,528,259"
US5732841060,MARTIN MRTA.MATS.,Industrials,Construction & Mats,Construction & Mats,Bldg Materials: Other,UNITED STATES,"18,170,000,000","42,107,230,000","4,882,176,983"
US2371941053,DARDEN RESTAURANTS,Consumer Discretion,Travel & Leisure,Travel & Leisure,Restaurants & Bars,UNITED STATES,"12,587,000,000","22,674,800,000","6,891,551,676"
CA05534B7604,BCE,Telecommunications,Telecommunications,Telecom. Svs. Prvds.,Telecom. Services,CANADA,"51,000,604,000","52,415,341,340","8,483,119,539"
US8636671013,STRYKER,Health Care,Health Care,Medical Eq. Services,Medical Equipment,UNITED STATES,"41,229,000,000","161,474,400,000","10,468,254,675"
US0320951017,AMPHENOL 'A',Technology,Technology,"Tech. Hardware, Equip",Electronic Components,UNITED STATES,"21,311,500,000","159,364,200,000","10,903,257,567"
US3030751057,FACTSET RESEARCH SYS.,Financials,Financial Services,Finance & Credit Svs,Fin. Data Providers,UNITED STATES,"4,243,046,000",NA,"706,840,272"
US0010551028,AFLAC,Financials,Insurance,Life Insurance,Life Insurance,UNITED STATES,"117,566,000,000",NA,"13,468,841,462"
CA15101Q2071,CELESTICA SBVTG.SHS.,Technology,Technology,"Tech. Hardware, Equip",Electronic Components,CANADA,"5,899,685,000","37,917,250,000","6,594,202,106"
US25746U1097,DOMINION ENERGY,Utilities,Utilities,Electricity,Conv. Electricity,UNITED STATES,"102,415,000,000","98,867,180,000","9,013,020,119"
HK0006000050,POWER ASSETS HOLDINGS,Utilities,Utilities,Electricity,Conv. Electricity,HONG KONG,"12,110,955,000","8,692,981,150","73,746,689"
FR0000131104,BNP PARIBAS,Financials,Banks,Banks,Banks,FRANCE,"2,797,390,920,000",NA,"69,560,630,521"
CH0012221716,ABB LTD N,Industrials,Ind. Goods & Services,Elec. & Electrical Eq,Electrical Components,SWITZERLAND,"39,047,859,000","130,513,800,000","23,069,081,733"
FR0000120628,AXA,Financials,Insurance,Non-life Insurance,Full Line Insurance,FRANCE,"673,484,179,000",NA,"61,085,178,946"
JP3188200004,OTSUKA,Technology,Technology,Software & Comp. Svs.,Computer Services,JAPAN,"4,210,091,000","5,076,776,930","2,958,535,454"
AU000000ALL7,ARISTOCRAT LEISURE,Consumer Discretion,Travel & Leisure,Travel & Leisure,Casinos & Gambling,AUSTRALIA,"6,117,486,000","24,068,519,790","2,614,251,840"
